Sport,Event,event_id
Basketball,Basketball Men's Basketball,1
Judo,Judo Men's Extra-Lightweight,2
Badminton,Badminton Men's Singles,3
Sailing,Sailing Women's Windsurfer,4
Athletics,Athletics Men's Shot Put,5
Handball,Handball Women's Handball,6
Weightlifting,Weightlifting Women's Super-Heavyweight,7
Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",8
Water Polo,Water Polo Men's Water Polo,9
Sailing,Sailing Mixed Three Person Keelboat,10
Hockey,Hockey Women's Hockey,11
Rowing,Rowing Men's Lightweight Double Sculls,12
Sailing,Sailing Men's Two Person Dinghy,13
Athletics,"Athletics Men's 1,500 metres",14
Swimming,Swimming Men's 100 metres Butterfly,15
Swimming,Swimming Men's 200 metres Butterfly,16
Swimming,Swimming Men's 4 x 100 metres Medley Relay,17
Football,Football Women's Football,18
Equestrianism,"Equestrianism Mixed Jumping, Individual",19
Shooting,Shooting Men's Trap,20
Boxing,Boxing Men's Light-Welterweight,21
Athletics,Athletics Women's Javelin Throw,22
Wrestling,"Wrestling Men's Heavyweight, Freestyle",23
Gymnastics,Gymnastics Men's Individual All-Around,24
Gymnastics,Gymnastics Men's Floor Exercise,25
Gymnastics,Gymnastics Men's Parallel Bars,26
Gymnastics,Gymnastics Men's Horizontal Bar,27
Gymnastics,Gymnastics Men's Rings,28
Gymnastics,Gymnastics Men's Pommelled Horse,29
Athletics,Athletics Men's Pole Vault,30
Taekwondo,Taekwondo Men's Flyweight,31
Athletics,"Athletics Men's 5,000 metres",32
Weightlifting,Weightlifting Men's Middleweight,33
Football,Football Men's Football,34
Rowing,Rowing Men's Coxless Pairs,35
Fencing,"Fencing Men's epee, Individual",36
Judo,Judo Men's Half-Middleweight,37
Taekwondo,Taekwondo Women's Flyweight,38
Boxing,Boxing Men's Flyweight,39
Basketball,Basketball Women's Basketball,40
Diving,Diving Men's Platform,41
Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",42
Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",43
Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",44
Handball,Handball Men's Handball,45
Rowing,Rowing Women's Coxless Pairs,46
Boxing,Boxing Men's Middleweight,47
Judo,Judo Men's Lightweight,48
Tennis,Tennis Men's Doubles,49
Shooting,Shooting Mixed Skeet,50
Wrestling,"Wrestling Men's Featherweight, Freestyle",51
Sailing,Sailing Mixed Two Person Heavyweight Dinghy,52
Athletics,Athletics Women's Shot Put,53
Rowing,Rowing Men's Coxed Eights,54
Cycling,Cycling Women's Sprint,55
Cycling,Cycling Women's 500 metres Time Trial,56
Athletics,Athletics Men's 110 metres Hurdles,57
Shooting,Shooting Mixed Trap,58
Athletics,Athletics Women's Marathon,59
Athletics,Athletics Men's 100 metres,60
Athletics,Athletics Men's High Jump,61
Fencing,"Fencing Men's Foil, Individual",62
Fencing,"Fencing Men's Foil, Team",63
Fencing,"Fencing Men's Sabre, Team",64
Boxing,Boxing Men's Lightweight,65
Boxing,Boxing Men's Welterweight,66
Rowing,Rowing Men's Quadruple Sculls,67
Rowing,Rowing Men's Double Sculls,68
Rowing,Rowing Men's Coxed Pairs,69
Athletics,Athletics Men's 400 metres Hurdles,70
Athletics,Athletics Men's 4 x 100 metres Relay,71
Athletics,Athletics Men's 400 metres,72
Athletics,Athletics Men's Hammer Throw,73
Weightlifting,Weightlifting Men's Lightweight,74
Athletics,Athletics Men's Long Jump,75
Weightlifting,Weightlifting Men's Featherweight,76
Athletics,Athletics Men's 800 metres,77
Cycling,"Cycling Men's Road Race, Individual",78
Swimming,Swimming Men's 100 metres Freestyle,79
Hockey,Hockey Men's Hockey,80
Rowing,Rowing Women's Single Sculls,81
Swimming,Swimming Men's 50 metres Freestyle,82
Weightlifting,Weightlifting Women's Featherweight,83
Water Polo,Water Polo Women's Water Polo,84
Weightlifting,Weightlifting Men's Heavyweight,85
Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",86
Equestrianism,"Equestrianism Mixed Three-Day Event, Team",87
Sailing,Sailing Women's Three Person Keelboat,88
Cycling,"Cycling Women's Road Race, Individual",89
Softball,Softball Women's Softball,90
Archery,Archery Women's Individual,91
Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",92
Volleyball,Volleyball Men's Volleyball,93
Taekwondo,Taekwondo Women's Heavyweight,94
Synchronized Swimming,Synchronized Swimming Women's Duet,95
Synchronized Swimming,Synchronized Swimming Women's Team,96
Gymnastics,Gymnastics Men's Team All-Around,97
Gymnastics,Gymnastics Men's Horse Vault,98
Taekwondo,Taekwondo Women's Featherweight,99
Athletics,Athletics Men's Marathon,100
Athletics,Athletics Men's 4 x 400 metres Relay,101
Athletics,"Athletics Women's 3,000 metres",102
Diving,Diving Women's Platform,103
Shooting,"Shooting Men's Air Rifle, 10 metres",104
Boxing,Boxing Men's Featherweight,105
Athletics,Athletics Men's 200 metres,106
Weightlifting,Weightlifting Men's Flyweight,107
Weightlifting,Weightlifting Men's Light-Heavyweight,108
Wrestling,"Wrestling Men's Lightweight, Greco-Roman",109
Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",110
Shooting,"Shooting Men's Free Pistol, 50 metres",111
Shooting,"Shooting Men's Air Pistol, 10 metres",112
Fencing,"Fencing Men's epee, Team",113
Rowing,Rowing Men's Coxless Fours,114
Boxing,Boxing Men's Light-Flyweight,115
Boxing,Boxing Men's Super-Heavyweight,116
Shooting,"Shooting Women's Air Rifle, 10 metres",117
Weightlifting,Weightlifting Men's Middle-Heavyweight,118
Athletics,Athletics Men's Javelin Throw,119
Volleyball,Volleyball Women's Volleyball,120
Wrestling,"Wrestling Men's Welterweight, Greco-Roman",121
Wrestling,"Wrestling Men's Middleweight, Greco-Roman",122
Athletics,"Athletics Men's 10,000 metres",123
Athletics,"Athletics Men's 3,000 metres Steeplechase",124
Wrestling,"Wrestling Men's Middleweight, Freestyle",125
Swimming,Swimming Women's 100 metres Backstroke,126
Swimming,Swimming Women's 200 metres Backstroke,127
Swimming,Swimming Women's 4 x 100 metres Medley Relay,128
Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",129
Modern Pentathlon,Modern Pentathlon Men's Individual,130
Modern Pentathlon,Modern Pentathlon Men's Team,131
Athletics,Athletics Women's 200 metres,132
Table Tennis,Table Tennis Women's Singles,133
Table Tennis,Table Tennis Women's Doubles,134
Shooting,Shooting Men's Skeet,135
Swimming,Swimming Women's 50 metres Freestyle,136
Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",137
Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",138
Athletics,Athletics Women's 100 metres,139
Athletics,Athletics Men's Triple Jump,140
Wrestling,"Wrestling Men's Flyweight, Greco-Roman",141
Swimming,Swimming Men's 400 metres Freestyle,142
Weightlifting,Weightlifting Women's Lightweight,143
Athletics,Athletics Women's Long Jump,144
Fencing,"Fencing Women's epee, Individual",145
Swimming,Swimming Men's 200 metres Freestyle,146
Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,147
Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,148
Swimming,Swimming Men's 100 metres Backstroke,149
Swimming,Swimming Men's 200 metres Backstroke,150
Swimming,Swimming Men's 200 metres Individual Medley,151
Swimming,Swimming Men's 400 metres Individual Medley,152
Boxing,Boxing Men's Light-Middleweight,153
Tennis,Tennis Men's Singles,154
Boxing,Boxing Men's Heavyweight,155
Wrestling,"Wrestling Men's Bantamweight, Freestyle",156
Wrestling,"Wrestling Men's Flyweight, Freestyle",157
Athletics,"Athletics Women's 5,000 metres",158
Weightlifting,Weightlifting Women's Light-Heavyweight,159
Weightlifting,Weightlifting Women's Heavyweight,160
Athletics,Athletics Men's Discus Throw,161
Taekwondo,Taekwondo Men's Featherweight,162
Taekwondo,Taekwondo Men's Welterweight,163
Judo,Judo Men's Heavyweight,164
Cycling,Cycling Men's Sprint,165
Boxing,Boxing Men's Bantamweight,166
Wrestling,"Wrestling Men's Lightweight, Freestyle",167
Baseball,Baseball Men's Baseball,168
Rowing,Rowing Men's Coxed Fours,169
